Genus,Nodulating
Abarema,Yes
Acacia,Yes
Acaciella,Yes
Adenanthera,Unknown
Adenopodia,Yes
Afrocalliandra,Unknown
Alantsilodendron,Unknown
Albizia,Yes
Anadenanthera,Yes
Archidendron,Yes
Archidendropsis,Yes
Aubrevillea,No
Balizia,Yes
Blanchetiodendron,Unknown
Calliandra,Yes
Calliandropsis,Unknown
Calpocalyx,No
Cathormion,Yes
Cedrelinga,Yes
Chidlowia,Yes
Chloroleucon,Yes
Cojoba,Yes
Cylicodiscus,No
Desmanthus,Yes
Dichrostachys,Yes
Ebenopsis,Yes
Elephantorrhiza,Yes
Entada,Yes
Enterolobium,Yes
Faidherbia,Yes
Falcataria,Yes
Fillaeopsis,Unknown
Gagnebina,Yes
Havardia,Yes
Hesperalbizia,Yes
Hydrochorea,Yes
Inga,Yes
Jacqueshuberia,Yes
Kanaloa,Yes
Lemurodendron,Unknown
Leucaena,Yes
Lysiloma,Yes
Macrosamanea,Yes
Microlobius,Yes
Mimosa,Yes
Neptunia,Yes
Newtonia,No
Parapiptadenia,Yes
Pararchidendron,Unknown
Paraserianthes,Yes
Parkia,No
Pentaclethra,Yes
Piptadenia,Yes
Piptadeniastrum,Yes
Piptadeniopsis,Unknown
Pithecellobium,Yes
Pityrocarpa,Yes
Plathymenia,Yes
Prosopidastrum,Unknown
Prosopis,Yes
Pseudopiptadenia,Yes
Pseudoprosopis,Unknown
Samanea,Yes
Schleinitzia,Yes
Senegalia,Yes
Serianthes,Yes
Sphinga,Unknown
Stryphnodendron,Yes
Tetrapleura,No
Tetrapterocarpon,Unknown
Vachellia,Yes
Viguieranthus,Unknown
Wallaceodendron,Yes
Xerocladia,Yes
Xylia,Yes
Zapoteca,No
Zygia,Yes
